committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M2,201802169094575485,29,703F032A35D90F1335E,1208936,COM,OTHER COMMITTEE,,,DWAYNE BOHAC CAMPAIGN,TX,,,,,UNCASHED 10/23/17 CONTRIBUTION,,,2018-01-17 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-22 01:55:22.618,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4021620181504988638,HOUSTON,77024,OTHER,,2018,SB,4022120181514386877,http://docquery.fec.gov/cgi-bin/fecimg/?201802169094575485,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597275,23,CDE06A45693A7D94E1E,1214687,CCM,CAMPAIGN COMMITTEE,C00254573,C00254573,EDDIE BERNICE JOHNSON FOR CONGRESS,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/9/17 CONTRIBUTION,,,2018-02-28 00:00:00,-1000.00,H,HOUSE,30,H2TX00015,"JOHNSON, EDDIE BERNICE",EDDIE,JOHNSON,BERNICE,,,TX,TEXAS,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:43.367,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4031920181518971524,DALLAS,75207,CONTRIBUTIONS,,2018,SB,4031920181519011971,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597275,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M6,201806199113752641,23,3015899DF88A32FBF63,1239047,CCM,CAMPAIGN COMMITTEE,C00614826,C00614826,KUSTOFF FOR CONGRESS,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/22/17 CONTRIBUTION,,,2018-05-15 00:00:00,-1000.00,H,HOUSE,08,H2TN07103,"KUSTOFF, DAVID F.",DAVID,KUSTOFF,F.,,,TN,TENNESSEE,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-06-20 01:30:21.682,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4061920181570797654,MEMPHIS,381201466,CONTRIBUTIONS,,2018,SB,4061920181570820763,http://docquery.fec.gov/cgi-bin/fecimg/?201806199113752641,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799488,23,473ED7C9B1C4113022A,1173068,CCM,CAMPAIGN COMMITTEE,C00497115,C00497115,ROTHFUS FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/31/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,H,HOUSE,12,H0PA04220,"ROTHFUS, KEITH JAMES",KEITH,ROTHFUS,JAMES,,,PA,PENNSYLVANIA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:38.53,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,SEWICKLEY,15143,CONTRIBUTIONS,,2018,SB,4072020171426296825,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799488,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799489,23,E6B9027BE72DCE3F04E,1173068,CCM,CAMPAIGN COMMITTEE,C00195065,C00195065,THE CONGRESSMAN JOE BARTON COMMITTEE,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/15/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,H,HOUSE,06,H4TX06117,"BARTON, JOSEPH LINUS",JOSEPH,BARTON,LINUS,,,TX,TEXAS,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:45.228,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,ENNIS,75120,CONTRIBUTIONS,,2018,SB,4072020171426296833,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799489,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799491,23,78D6A7DE9E102AF5EA8,1173068,CCM,CAMPAIGN COMMITTEE,C00386748,C00386748,VIRGINIA FOXX FOR CONGRESS,NC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/6/16 CONTRIBUTION,,,2017-06-27 00:00:00,-1000.00,H,HOUSE,05,H4NC05146,"FOXX, VIRGINIA ANN",VIRGINIA,FOXX,ANN,,,NC,NORTH CAROLINA,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:45.229,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,BOONE,28607,CONTRIBUTIONS,,2018,SB,4072020171426296844,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799491,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799492,29,E8AFCD3F1C0ECA731B9,1173068,COM,OTHER COMMITTEE,,,CITIZENS FOR GRONSTAL,IA,,,,,UNCASHED 9/1/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:30.97,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,COUNCIL BLUFFS,51503,OTHER,,2018,SB,4072020171426296848,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799492,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799492,29,3F8CFDEDA83A9023906,1173068,COM,OTHER COMMITTEE,,,COMMITTEE TO RE-ELECT CHARLES SARGENT,TN,,,,,UNCASHED 9/1/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:58.358,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,FRAKLIN,37067,OTHER,,2018,SB,4072020171426296850,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799492,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799493,29,64E5E8030C462379339,1173068,COM,OTHER COMMITTEE,,,INNOVATE FLORIDA,FL,,,,,UNCASHED 9/1/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:57:01.124,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,TAMPA,33606,OTHER,,2018,SB,4072020171426296854,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799493,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799493,29,1505FB26077E7F18AFE,1173068,COM,OTHER COMMITTEE,,,RE-ELECT SENATOR STEVE DICKERSON,TN,,,,,UNCASHED 9/1/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:54.358,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,NASHVILLE,37214,OTHER,,2018,SB,4072020171426296858,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799493,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M12,201712199089255238,23,AD907C70783B63F1D91,1194554,CCM,CAMPAIGN COMMITTEE,C00605592,C00605592,PRAMILA FOR CONGRESS,WA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/17/17 CONTRIBUTION,,,2017-11-30 00:00:00,-1000.00,H,HOUSE,07,H6WA07458,"JAYAPAL, PRAMILA",PRAMILA,JAYAPAL,,,,WA,WASHINGTON,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-12-21 01:51:35.015,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4121920171489093638,SEATTLE,98111,CONTRIBUTIONS,,2018,SB,4122020171489212322,http://docquery.fec.gov/cgi-bin/fecimg/?201712199089255238,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,YE,201801249090606157,29,44EFB8559650A2B2961,1199603,COM,OTHER COMMITTEE,,,JONI CRAIGHEAD FOR LEGISLATURE,NE,,,,,UNCASHED 10/23/2017 CONTRIBUTION,,,2017-12-07 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-25 01:54:56.714,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4012420181503101804,OMAHA,68154,OTHER,,2018,SB,4012420181503167360,http://docquery.fec.gov/cgi-bin/fecimg/?201801249090606157,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597277,29,0341A562C0FE0E46A7C,1214687,COM,OTHER COMMITTEE,,,CAMPAIGN OF JAKE RABURN,FL,,,,,UNCASHED 9/8/17 CONTRIBUTION,,,2018-02-09 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:26.547,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4031920181518971524,VENICE,34285,OTHER,,2018,SB,4031920181519011979,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597277,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597277,29,41314E6D0FA224ACE34,1214687,COM,OTHER COMMITTEE,,,CAMPAIGN OF LARRY LEE,FL,,,,,UNCASHED 9/8/17 CONTRIBUTION,,,2018-02-09 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:30.987,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4031920181518971524,FORT PIERCE,34950,OTHER,,2018,SB,4031920181519011981,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597277,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597277,29,9D04FC41F165744D5D4,1214687,COM,OTHER COMMITTEE,,,CAMPAIGN OF NEIL COMBEE,FL,,,,,UNCASHED 9/8/17 CONTRIBUTION,,,2018-02-09 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:40.982,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4031920181518971524,LAKELAND,33804,OTHER,,2018,SB,4031920181519011983,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597277,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M10,201710209075855714,29,8F8A2989DA215ACCF12,1188842,COM,OTHER COMMITTEE,,,COMMITTEE TO RE-ELECT HARRY BROOKS,TN,,,,,UNCASHED 7/7/17 CONTRIBUTION,,,2017-09-30 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:52:05.483,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4102020171458743604,KNOXVILLE,37918,OTHER,,2018,SB,4102020171458777508,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075855714,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M10,201710209075855714,29,ACE5403B13CA0323565,1188842,COM,OTHER COMMITTEE,,,COMMITTEE TO RE-ELECT MARK NORRIS,TN,,,,,UNCASHED 7/7/17 CONTRIBUTION,,,2017-09-30 00:00:00,-500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:52:02.99,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4102020171458743604,GERMANTOWN,38138,OTHER,,2018,SB,4102020171458777510,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075855714,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M6,201806199113752629,21B,VF5BF1F8E6FED7E3626F,1239047,ORG,ORGANIZATION,,,"PAYPAL, INC.",IL,,,,,CREDIT CARD PROCESSING FEES,,,2018-05-31 00:00:00,9.58,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-06-20 01:30:27.746,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,F3X,4061920181570797654,CHICAGO,60677,OTHER,,2018,SB,4061920181570820691,http://docquery.fec.gov/cgi-bin/fecimg/?201806199113752629,Other Federal Operating Expenditures,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M5,201705189054011840,28A,1058771392D0D287A00,1163027,IND,INDIVIDUAL,,,"CAMPBELL, KRISTINE",WA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,REFUND OF 4/14/17 CONTRIBUTION,,,2017-04-20 00:00:00,120.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,CAMPBELL,KRISTINE,,010,Refunds of Contributions,,,,,,,F3X,4051820171405154004,ISSAQUAH,980297344,REFUNDS,,2018,SB,4051820171405196495,http://docquery.fec.gov/cgi-bin/fecimg/?201705189054011840,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M5,201805189112097221,21B,VF37328DB5C2A83002E4,1232331,ORG,ORGANIZATION,,,"PAYPAL, INC.",IL,,,,,CREDIT CARD PROCESSING FEES,,,2018-04-30 00:00:00,128.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-05-19 01:30:03.583,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,F3X,4051820181565899691,CHICAGO,60677,OTHER,,2018,SB,4051820181565912596,http://docquery.fec.gov/cgi-bin/fecimg/?201805189112097221,Other Federal Operating Expenditures,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M4,201804209110420224,21B,VD2442D7275A075650B4,1225929,ORG,ORGANIZATION,,,"PAYPAL, INC.",IL,,,,,CREDIT CARD PROCESSING FEE,,,2018-03-31 00:00:00,128.19,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-26 01:37:02.001,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,F3X,4042020181526227357,CHICAGO,60677,OTHER,,2018,SB,4042520181526595338,http://docquery.fec.gov/cgi-bin/fecimg/?201804209110420224,Other Federal Operating Expenditures,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597274,21B,VA02CA05A43C7B8C6705,1214687,ORG,ORGANIZATION,,,"PAYPAL, INC.",IL,,,,,CREDIT CARD PROCESSING FEE,,,2018-02-28 00:00:00,198.11,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:37.083,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,F3X,4031920181518971524,CHICAGO,60677,OTHER,,2018,SB,4031920181519011969,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597274,Other Federal Operating Expenditures,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M6,201706199061015230,29,74FF911DFB88322F491,1166502,COM,OTHER COMMITTEE,,,CHAMBERPAC SMALL CONTRIBUTOR COMMITTEE,CA,,,,,NONFEDERAL CONTRIBUTION,,,2017-05-16 00:00:00,200.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-20 03:13:58.09,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4061920171410147077,SACRAMENTO,95853,OTHER,,2018,SB,4061920171410186080,http://docquery.fec.gov/cgi-bin/fecimg/?201706199061015230,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M9,201709159074736211,29,FDC9D395E6E59E6F25D,1182049,COM,OTHER COMMITTEE,,,CITIZENS FOR BRIAN MEYER,IA,,,,,NONFEDERAL CONTRIBUTION,,,2017-08-07 00:00:00,250.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-09-16 01:53:51.714,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4091520171455533034,DES MOINES,50320,OTHER,,2018,SB,4091520171455560216,http://docquery.fec.gov/cgi-bin/fecimg/?201709159074736211,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M9,201709159074736212,29,18A162277DD6D0AB76E,1182049,COM,OTHER COMMITTEE,,,CITIZENS FOR PAT GRASSLEY,IA,,,,,NONFEDERAL CONTRIBUTION,,,2017-08-07 00:00:00,250.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-09-16 01:53:56.056,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4091520171455533034,NEW HARTFORD,50660,OTHER,,2018,SB,4091520171455560224,http://docquery.fec.gov/cgi-bin/fecimg/?201709159074736212,Other Disbursements,,,,,,
